sku,name_ar,name_en,description_ar,description_en,brand_slug,category_slug,base_price_egp,vat_exempt,authenticity,specs_json,status
HP-CF259A,خرطوشة تونر HP 59A أصلية أسود,HP 59A Black Original Toner Cartridge,تونر أصلي من HP لطابعات LaserJet Pro M404 / M428. إنتاجية حتى 3000 صفحة.,Genuine HP toner for LaserJet Pro M404 / M428. Up to 3000 pages.,hp,toner-cartridges,2950,false,GENUINE,"{""pageYield"":""3000 pages"",""color"":""Black""}",ACTIVE
HP-CF258A,خرطوشة تونر HP 58A أصلية أسود,HP 58A Black Original Toner Cartridge,تونر أصلي لطابعات HP M404 / M304. إنتاجية 3000 صفحة.,Genuine HP toner for M404 / M304 series. 3000 page yield.,hp,toner-cartridges,2850,false,GENUINE,"{""pageYield"":""3000 pages"",""color"":""Black""}",ACTIVE
HP-W1350A,خرطوشة تونر HP 135A أصلية أسود,HP 135A Black Original Toner Cartridge,تونر HP 135A لطابعات MFP M140 / M209. إنتاجية 1100 صفحة.,HP 135A toner for MFP M140 / M209. 1100 page yield.,hp,toner-cartridges,1850,false,GENUINE,"{""pageYield"":""1100 pages"",""color"":""Black""}",ACTIVE
HP-CE285A,خرطوشة تونر HP 85A أصلية أسود,HP 85A Black Original Toner Cartridge,تونر لطابعات LaserJet Pro P1102 / M1132. إنتاجية 1600 صفحة.,Toner for LaserJet Pro P1102 / M1132. 1600 pages.,hp,toner-cartridges,2150,false,GENUINE,"{""pageYield"":""1600 pages"",""color"":""Black""}",ACTIVE
HP-CF283A,خرطوشة تونر HP 83A أصلية أسود,HP 83A Black Original Toner Cartridge,تونر 83A لطابعات LaserJet Pro M125 / M127 / M201.,HP 83A for LaserJet Pro M125 / M127 / M201.,hp,toner-cartridges,2050,false,GENUINE,"{""pageYield"":""1500 pages"",""color"":""Black""}",ACTIVE
HP-CF279A,خرطوشة تونر HP 79A أصلية أسود,HP 79A Black Original Toner Cartridge,تونر 79A لطابعات M12 / M26 / MFP M26.,HP 79A for M12 / M26 / MFP M26.,hp,toner-cartridges,1950,false,GENUINE,"{""pageYield"":""1000 pages"",""color"":""Black""}",ACTIVE
HP-CC530A,خرطوشة تونر HP 304A أسود أصلية,HP 304A Black Original Toner Cartridge,تونر أسود لطابعات ColorLaserJet CP2025.,Black toner for ColorLaserJet CP2025.,hp,toner-cartridges,3950,false,GENUINE,"{""pageYield"":""3500 pages"",""color"":""Black""}",ACTIVE
HP-CC531A,خرطوشة تونر HP 304A سيان أصلية,HP 304A Cyan Original Toner Cartridge,تونر سيان لطابعات ColorLaserJet CP2025.,Cyan toner for ColorLaserJet CP2025.,hp,toner-cartridges,4250,false,GENUINE,"{""pageYield"":""2800 pages"",""color"":""Cyan""}",ACTIVE
HP-CC532A,خرطوشة تونر HP 304A أصفر أصلية,HP 304A Yellow Original Toner Cartridge,تونر أصفر لطابعات ColorLaserJet CP2025.,Yellow toner for ColorLaserJet CP2025.,hp,toner-cartridges,4250,false,GENUINE,"{""pageYield"":""2800 pages"",""color"":""Yellow""}",ACTIVE
HP-CC533A,خرطوشة تونر HP 304A ماجنتا أصلية,HP 304A Magenta Original Toner Cartridge,تونر ماجنتا لطابعات ColorLaserJet CP2025.,Magenta toner for ColorLaserJet CP2025.,hp,toner-cartridges,4250,false,GENUINE,"{""pageYield"":""2800 pages"",""color"":""Magenta""}",ACTIVE
HP-CC530A-COMP,خرطوشة تونر HP 304A أسود متوافقة,HP 304A Black Compatible Toner,بديل متوافق عالي الجودة يحل محل HP CC530A.,High-quality compatible replacement for HP CC530A.,hp,toner-cartridges,1650,false,COMPATIBLE,"{""pageYield"":""3000 pages"",""color"":""Black""}",ACTIVE
HP-CF259A-COMP,خرطوشة تونر HP 59A أسود متوافقة,HP 59A Black Compatible Toner,بديل متوافق لـ HP 59A. إنتاجية 3000 صفحة.,Compatible replacement for HP 59A. 3000 pages.,hp,toner-cartridges,1250,false,COMPATIBLE,"{""pageYield"":""3000 pages"",""color"":""Black""}",ACTIVE
CANON-CRG-FX9,خرطوشة تونر Canon FX-9 أصلية أسود,Canon FX-9 Black Original Toner,تونر Canon لطابعات L100 / L120 / MF4010.,Canon toner for L100 / L120 / MF4010.,canon,toner-cartridges,1950,false,GENUINE,"{""pageYield"":""2000 pages"",""color"":""Black""}",ACTIVE
CANON-CRG-725,خرطوشة تونر Canon 725 أصلية أسود,Canon 725 Black Original Toner Cartridge,تونر Canon 725 لطابعات LBP6000 / MF3010.,Canon 725 toner for LBP6000 / MF3010.,canon,toner-cartridges,2150,false,GENUINE,"{""pageYield"":""1600 pages"",""color"":""Black""}",ACTIVE
CANON-CRG-737,خرطوشة تونر Canon 737 أصلية أسود,Canon 737 Black Original Toner Cartridge,تونر Canon 737 لطابعات MF211 / MF229dw.,Canon 737 toner for MF211 / MF229dw.,canon,toner-cartridges,2450,false,GENUINE,"{""pageYield"":""2400 pages"",""color"":""Black""}",ACTIVE
CANON-PG-745,خرطوشة حبر Canon PG-745 أصلية أسود,Canon PG-745 Black Original Ink Cartridge,حبر Canon لطابعات PIXMA MG3070 / TR4570.,Canon ink for PIXMA MG3070 / TR4570.,canon,ink-cartridges,495,false,GENUINE,"{""pageYield"":""180 pages"",""color"":""Black""}",ACTIVE
CANON-CL-746,خرطوشة حبر Canon CL-746 أصلية ملون,Canon CL-746 Tri-Color Original Ink Cartridge,حبر ثلاثي الألوان Canon لطابعات PIXMA.,Canon tri-color ink for PIXMA printers.,canon,ink-cartridges,595,false,GENUINE,"{""pageYield"":""180 pages"",""color"":""Tri-color""}",ACTIVE
EPSON-T6641,حبر Epson 664 أصلي أسود 70 مل,Epson 664 Black Original Ink Bottle 70ml,حبر Epson الأصلي لطابعات L130 / L220 / L355.,Genuine Epson ink for L130 / L220 / L355.,epson,ink-cartridges,345,false,GENUINE,"{""volume"":""70ml"",""color"":""Black""}",ACTIVE
EPSON-T6642,حبر Epson 664 أصلي سيان 70 مل,Epson 664 Cyan Original Ink Bottle 70ml,حبر سيان Epson لطابعات L130 / L220 / L355.,Cyan Epson ink for L130 / L220 / L355.,epson,ink-cartridges,345,false,GENUINE,"{""volume"":""70ml"",""color"":""Cyan""}",ACTIVE
EPSON-T6643,حبر Epson 664 أصلي ماجنتا 70 مل,Epson 664 Magenta Original Ink Bottle 70ml,حبر ماجنتا Epson لطابعات L130 / L220 / L355.,Magenta Epson ink for L130 / L220 / L355.,epson,ink-cartridges,345,false,GENUINE,"{""volume"":""70ml"",""color"":""Magenta""}",ACTIVE
EPSON-T6644,حبر Epson 664 أصلي أصفر 70 مل,Epson 664 Yellow Original Ink Bottle 70ml,حبر أصفر Epson لطابعات L130 / L220 / L355.,Yellow Epson ink for L130 / L220 / L355.,epson,ink-cartridges,345,false,GENUINE,"{""volume"":""70ml"",""color"":""Yellow""}",ACTIVE
EPSON-T544,حبر Epson 544 أصلي أسود 65 مل,Epson 544 Black Original Ink Bottle 65ml,حبر Epson لطابعات L3110 / L3150.,Epson ink for L3110 / L3150.,epson,ink-cartridges,395,false,GENUINE,"{""volume"":""65ml"",""color"":""Black""}",ACTIVE
EPSON-L3150,طابعة Epson EcoTank L3150 ملونة,Epson EcoTank L3150 Color Printer,طابعة متعددة الوظائف بخزانات حبر لتوفير التكاليف — ملون / سكان / كوبي / Wi-Fi.,All-in-one EcoTank printer with Wi-Fi: print / scan / copy.,epson,printers,8950,false,GENUINE,"{""type"":""Inkjet All-in-One"",""connectivity"":""USB / Wi-Fi""}",ACTIVE
EPSON-L3250,طابعة Epson EcoTank L3250 Wi-Fi,Epson EcoTank L3250 Wi-Fi Printer,طابعة EcoTank متعددة الوظائف مع Wi-Fi Direct ودعم الطباعة من الهاتف.,EcoTank all-in-one with Wi-Fi Direct and mobile printing.,epson,printers,9950,false,GENUINE,"{""type"":""Inkjet All-in-One"",""connectivity"":""Wi-Fi / Wi-Fi Direct""}",ACTIVE
HP-M404DW,طابعة HP LaserJet Pro M404dw,HP LaserJet Pro M404dw Printer,طابعة ليزر أحادية اللون سريعة للمكاتب الصغيرة والمتوسطة.,Fast monochrome laser printer for small and medium offices.,hp,printers,13950,false,GENUINE,"{""type"":""Monochrome Laser"",""speed"":""38 ppm"",""connectivity"":""Wi-Fi / Ethernet""}",ACTIVE
HP-M428FDW,طابعة HP LaserJet Pro MFP M428fdw,HP LaserJet Pro MFP M428fdw,طابعة متعددة الوظائف أحادية اللون — طباعة / سكان / فاكس / كوبي.,All-in-one monochrome laser: print / scan / fax / copy.,hp,printers,23500,false,GENUINE,"{""type"":""Monochrome MFP"",""speed"":""40 ppm"",""adf"":""true""}",ACTIVE
HP-M283FDW,طابعة HP ColorLaserJet MFP M283fdw,HP ColorLaserJet Pro MFP M283fdw,طابعة ليزر ملونة متعددة الوظائف مع ADF.,Color laser multi-function printer with ADF.,hp,printers,29500,false,GENUINE,"{""type"":""Color MFP"",""speed"":""22 ppm"",""adf"":""true""}",ACTIVE
CANON-LBP6030,طابعة Canon LBP6030 ليزر,Canon LBP6030 Laser Printer,طابعة ليزر اقتصادية أحادية اللون للاستخدام الشخصي والمكتبي.,Affordable monochrome laser printer for home and office.,canon,printers,5950,false,GENUINE,"{""type"":""Monochrome Laser"",""speed"":""18 ppm""}",ACTIVE
CANON-G3420,طابعة Canon PIXMA G3420,Canon PIXMA G3420 Printer,طابعة ملونة بخزانات حبر مع Wi-Fi — طباعة / سكان / كوبي.,Color ink-tank all-in-one with Wi-Fi.,canon,printers,10950,false,GENUINE,"{""type"":""Inkjet All-in-One"",""connectivity"":""Wi-Fi""}",ACTIVE
BROTHER-HL-L2375DW,طابعة Brother HL-L2375DW ليزر Wi-Fi,Brother HL-L2375DW Laser Printer,طابعة ليزر أحادية اللون مع Wi-Fi وطباعة تلقائية على الوجهين.,Monochrome laser printer with Wi-Fi and duplex.,brother,printers,11950,false,GENUINE,"{""type"":""Monochrome Laser"",""duplex"":""true""}",ACTIVE
BROTHER-MFC-L2715DW,طابعة Brother MFC-L2715DW MFP,Brother MFC-L2715DW MFP,طابعة ليزر متعددة الوظائف أحادية اللون مع فاكس.,Monochrome laser MFP with fax.,brother,printers,14950,false,GENUINE,"{""type"":""Monochrome MFP"",""duplex"":""true""}",ACTIVE
BROTHER-TN-2480,خرطوشة تونر Brother TN-2480 أصلية,Brother TN-2480 Black Original Toner,تونر Brother لطابعات HL-L2375 / MFC-L2715.,Brother toner for HL-L2375 / MFC-L2715.,brother,toner-cartridges,2250,false,GENUINE,"{""pageYield"":""3000 pages"",""color"":""Black""}",ACTIVE
BROTHER-TN-261BK,خرطوشة تونر Brother TN-261 أسود,Brother TN-261 Black Toner,تونر أسود Brother لطابعات ColorLaser HL-3150.,Brother black toner for HL-3150 ColorLaser.,brother,toner-cartridges,2450,false,GENUINE,"{""pageYield"":""2500 pages"",""color"":""Black""}",ACTIVE
SAMSUNG-MLT-D111S,خرطوشة تونر Samsung MLT-D111S أصلية,Samsung MLT-D111S Black Original Toner,تونر Samsung لطابعات Xpress M2020 / M2070.,Samsung toner for Xpress M2020 / M2070.,samsung,toner-cartridges,1750,false,GENUINE,"{""pageYield"":""1000 pages"",""color"":""Black""}",ACTIVE
SAMSUNG-MLT-D101S,خرطوشة تونر Samsung MLT-D101S أصلية,Samsung MLT-D101S Black Original Toner,تونر Samsung لطابعات ML-2160 / SCX-3400.,Samsung toner for ML-2160 / SCX-3400.,samsung,toner-cartridges,1650,false,GENUINE,"{""pageYield"":""1500 pages"",""color"":""Black""}",ACTIVE
SAMSUNG-MLT-D111S-COMP,خرطوشة تونر Samsung MLT-D111S متوافقة,Samsung MLT-D111S Compatible Toner,بديل متوافق لـ MLT-D111S بإنتاجية 1000 صفحة.,Compatible replacement for MLT-D111S. 1000 page yield.,samsung,toner-cartridges,950,false,COMPATIBLE,"{""pageYield"":""1000 pages"",""color"":""Black""}",ACTIVE
PAPER-A4-80-500,ورق طباعة A4 80 جرام — 500 ورقة,A4 Printing Paper 80gsm — 500 Sheets,ورق طباعة عالي الجودة A4 بكثافة 80 جرام لجميع الطابعات المنزلية والمكتبية.,Premium 80gsm A4 paper suitable for all home and office printers.,generic,paper-media,175,true,GENUINE,"{""size"":""A4"",""weight"":""80gsm"",""sheets"":""500""}",ACTIVE
PAPER-A4-80-2500,ورق طباعة A4 80 جرام — 2500 ورقة,A4 Printing Paper 80gsm — Case of 2500,كرتونة ورق طباعة A4 كاملة (5 رزم × 500) — عرض الجملة.,A4 paper case (5 reams of 500) — bulk wholesale.,generic,paper-media,825,true,GENUINE,"{""size"":""A4"",""weight"":""80gsm"",""sheets"":""2500""}",ACTIVE
PAPER-A3-80-500,ورق طباعة A3 80 جرام — 500 ورقة,A3 Printing Paper 80gsm — 500 Sheets,ورق A3 عالي الجودة لتطبيقات الطباعة الكبيرة والمخططات.,Premium A3 paper for plans and large-format printing.,generic,paper-media,395,true,GENUINE,"{""size"":""A3"",""weight"":""80gsm"",""sheets"":""500""}",ACTIVE
PAPER-PHOTO-A4-25,ورق فوتوغرافي A4 لامع — 25 ورقة,Photo Paper A4 Glossy — 25 Sheets,ورق فوتوغرافي لامع 200 جرام — مثالي للطباعة الاحترافية.,200gsm glossy photo paper — ideal for professional photo prints.,generic,paper-media,145,true,GENUINE,"{""size"":""A4"",""weight"":""200gsm"",""finish"":""Glossy""}",ACTIVE
PART-FUSER-M404,وحدة صهر HP M404 / M428 بديلة,HP M404 / M428 Fuser Assembly (Replacement),وحدة صهر متوافقة بديلة لطابعات HP LaserJet M404 / M428.,Compatible replacement fuser assembly for HP M404 / M428.,hp,parts-accessories,1950,false,COMPATIBLE,"{""part_type"":""Fuser Assembly""}",ACTIVE
PART-DRUM-TN2480,اسطوانة تصوير Brother DR-2485,Brother DR-2485 Drum Unit,اسطوانة تصوير أصلية Brother — 30000 صفحة.,"Genuine Brother drum unit — 30,000 page yield.",brother,parts-accessories,3450,false,GENUINE,"{""yield"":""30000 pages""}",ACTIVE
PART-WASTE-M283,علبة الحبر الزائد HP M283,HP M283 Waste Toner Box,علبة تجميع الحبر الزائد لطابعات HP ColorLaserJet M283.,Waste toner collection box for HP ColorLaserJet M283.,hp,parts-accessories,795,false,GENUINE,"{""part_type"":""Waste Toner""}",ACTIVE
ACC-USB-PRN-3M,كابل طباعة USB 2.0 — 3 متر,USB 2.0 Printer Cable — 3m,كابل توصيل USB للطابعات (A-to-B) بطول 3 متر.,"Printer USB 2.0 A-to-B cable, 3 metres.",generic,parts-accessories,95,true,GENUINE,"{""length"":""3m"",""type"":""USB 2.0 A-B""}",ACTIVE
ACC-USB-PRN-1-5M,كابل طباعة USB 2.0 — 1.5 متر,USB 2.0 Printer Cable — 1.5m,كابل طابعة USB 2.0 بطول 1.5 متر.,"Printer USB 2.0 cable, 1.5m.",generic,parts-accessories,65,true,GENUINE,"{""length"":""1.5m"",""type"":""USB 2.0 A-B""}",ACTIVE
ACC-USB-EXT-5M,كابل تمديد USB 5 متر,USB Extension Cable — 5m,كابل تمديد USB بطول 5 متر للمكاتب الكبيرة.,USB extension cable 5m for large office setups.,generic,parts-accessories,145,true,GENUINE,"{""length"":""5m""}",ACTIVE
ACC-NET-CAT6-3M,كابل شبكة CAT6 — 3 متر,CAT6 Ethernet Cable — 3m,كابل شبكة CAT6 بطول 3 متر للطابعات المكتبية.,CAT6 Ethernet cable 3m for office printers.,generic,parts-accessories,75,true,GENUINE,"{""length"":""3m"",""category"":""CAT6""}",ACTIVE
ACC-POWER-C13-2M,كابل كهرباء IEC C13 — 2 متر,IEC C13 Power Cable — 2m,كابل كهرباء بديل 2 متر — C13 قياسي للطابعات.,Replacement 2m power cable — standard C13 for printers.,generic,parts-accessories,65,true,GENUINE,"{""length"":""2m"",""standard"":""IEC C13""}",ACTIVE
HP-NO-94,خرطوشة حبر HP 94 أسود أصلية,HP 94 Black Original Ink Cartridge,حبر HP 94 لطابعات Deskjet 460 / OfficeJet 100.,HP 94 ink for Deskjet 460 / OfficeJet 100.,hp,ink-cartridges,595,false,GENUINE,"{""color"":""Black""}",ACTIVE
HP-NO-95,خرطوشة حبر HP 95 ثلاثي الألوان أصلية,HP 95 Tri-Color Original Ink Cartridge,حبر ثلاثي الألوان HP 95 لطابعات Deskjet 460 / OfficeJet 100.,HP 95 tri-color ink for Deskjet 460 / OfficeJet 100.,hp,ink-cartridges,695,false,GENUINE,"{""color"":""Tri-color""}",ACTIVE
HP-NO-682,خرطوشة حبر HP 682 أسود أصلية,HP 682 Black Original Ink Cartridge,حبر HP 682 لطابعات DeskJet 2778 / 2838 / 6075.,HP 682 ink for DeskJet 2778 / 2838 / 6075.,hp,ink-cartridges,395,false,GENUINE,"{""color"":""Black""}",ACTIVE
